C_type,C_num,CVV,e_date 
americanexpress,340171457990198,6931,2027-06
mastercard,5007667086131982,4563,2026-10
americanexpress,376744396016098,879,2026-11
americanexpress,374622278706741,4848,2027-10
visa,4583863547676,1247,2026-02
americanexpress,372301706586031,2927,2026-11
mastercard,5048373160495317,331,2026-02
mastercard,5474493308203077,8360,2027-07
visa,4241141589200669,348,2027-04
americanexpress,341991272926690,,2026-03
visa,4041377279087824,2569,2025-09
americanexpress,374288309120771,1099,2027-11
americanexpress,348125767497304,62,2027-09
americanexpress,372301140790967,2223,2026-12
americanexpress,374283780237798,,2025-10
visa,4041599450525450,1060,2026-10
visa,4017951524297,39,2025-12
visa,4041595487042,450,2026-12
visa,4017950867725771,4347,2027-05
mastercard,5048370522774223,275,2025-11
mastercard,5100177290311061,1061,2025-05
mastercard,5010127847556600,6,2026-03
americanexpress,374622068340370,82,2027-09
visa,4225053736558,30,2027-07
mastercard,5100171722840110,984,2025-12
mastercard,5048374609989068,3021,2025-07
americanexpress,374283680639234,873,2026-12
mastercard,5183644140236418,,2026-03
americanexpress,337941557661138,534,2027-11
americanexpress,341607319855169,247,2025-03
americanexpress,372301806759132,4165,2027-08
visa,4041375376503917,1440,2027-06
mastercard,5110102402645857,21,2027-09
visa,4188606387548860,5,2025-05
americanexpress,337941727756370,408,2026-09
mastercard,5002358301670393,2407,2026-05
visa,4041378096531,1325,2026-06
mastercard,5002358651288697,2750,2027-11
americanexpress,374622688276301,4636,2026-08
visa,4041598339784767,20,2026-01
visa,4041591850318,62,2026-09
mastercard,5100148058758017,137,2026-01
visa,4041379271338742,69,2025-09
americanexpress,337941749750765,13,2025-04
mastercard,5007667813312921,1711,2025-11
mastercard,5007662201941944,49,2027-02
americanexpress,374288718501926,,2027-03
visa,4017951975663,23,2027-05
mastercard,5100138385007675,443,2025-06
visa,4041590522390734,36,2027-08
americanexpress,374288226813607,26,2026-06
mastercard,5251183361645889,290,2025-11
americanexpress,337941750919366,52,2027-02
americanexpress,337941935220862,4462,2026-08
americanexpress,372301711771677,6000,2025-03
americanexpress,372301385750213,262,2025-08
americanexpress,374288118747004,3,2026-03
mastercard,5314972126336817,1591,2027-03
mastercard,5400426453689707,19,2028-01
visa,4041598258077,635,2025-04
visa,4971635219454519,143,2026-05
americanexpress,372519337252133,1142,2026-08
americanexpress,374483465423115,47,2028-01
visa,4041370649084456,981,2027-02
visa,4041378342985671,400,2026-08
mastercard,5100173907204518,545,2027-07
mastercard,5256418527922573,1195,2025-05
visa,4017953631846931,30,2025-04
visa,4041599029464546,52,2026-10
visa,4041598940166271,2770,2028-01
americanexpress,343709593849567,103,2026-09
mastercard,5100141647763648,22,2027-11
visa,4882756460298,5325,2028-01
americanexpress,374283161485164,148,2027-03
visa,4041377802442,33,2026-10
americanexpress,376776180326184,7710,2026-02
americanexpress,374288994038791,1249,2026-05
mastercard,5100176120598160,1017,2027-07
mastercard,5321342128343164,207,2027-09
americanexpress,372301333164269,1048,2025-05
americanexpress,345911520465172,400,2027-02
visa,4041370701985202,85,2027-05
americanexpress,372301879888594,2365,2027-03
americanexpress,372301154565164,1198,2025-05
mastercard,5525864291111106,374,2027-07
mastercard,5007669183912215,,2027-04
mastercard,5048374782034229,935,2027-12
americanexpress,345389615856474,5020,2025-06
visa,4041379032099344,2561,2027-11
mastercard,5405355156049288,1633,2026-01
mastercard,5100133131238526,72,2025-04
visa,4041599663127,32,2026-07
mastercard,5100171157871267,4473,2027-06
mastercard,5108757106139947,912,2026-01
americanexpress,374283658305404,16,2025-03
americanexpress,372301602011126,492,2025-12
americanexpress,342043975766913,15,2027-08
visa,4017959500679,1720,2027-06
visa,4439699581950740,70,2027-10
mastercard,5478549174110971,663,2026-06
americanexpress,372301013914371,1099,2027-04
americanexpress,337941194177720,249,2027-06
americanexpress,337941901131937,698,2025-04
visa,4017958026833,685,2026-09
americanexpress,374288086448312,5740,2026-07
americanexpress,346757799607278,3117,2025-04
visa,4017959329650428,324,2025-07
americanexpress,374622344802680,984,2026-09
visa,4888794319610,126,2027-07
americanexpress,374288117647122,1870,2026-05
mastercard,5575665435953652,5072,2027-06
americanexpress,337941743841826,46,2025-05
americanexpress,374283380984302,26,2027-04
visa,4857137668301902,4473,2025-12
americanexpress,372118816840425,90,2026-08
americanexpress,374288525407192,1989,2026-07
visa,4041372614644,10,2026-06
visa,4041590140208128,252,2026-07
americanexpress,372301754195263,1600,2026-03
mastercard,5048377457312374,,2027-11
visa,4017954981545685,300,2027-04
americanexpress,337941995801890,280,2026-12
americanexpress,378868994709859,1375,2025-09
americanexpress,374622670528354,157,2028-01
americanexpress,337941008400524,0,2025-05
americanexpress,347953279087383,105,2025-11
